conflict_id,year,location_inc,side_a,side_a_2nd,side_b,side_b_2nd,territory_name,bdbest,type_of_conflict,battle_location,region
218,1991,"India, Pakistan",Government of India,,Government of Pakistan,,Kashmir,94,2,"India, Pakistan",3
218,1992,"India, Pakistan",Government of India,,Government of Pakistan,,Kashmir,25,2,India,3
218,1996,"India, Pakistan",Government of India,,Government of Pakistan,,Kashmir,25,2,India,3
218,1997,"India, Pakistan",Government of India,,Government of Pakistan,,Kashmir,55,2,India,3
218,1998,"India, Pakistan",Government of India,,Government of Pakistan,,Kashmir,25,2,India,3
218,1999,"India, Pakistan",Government of India,,Government of Pakistan,,Kashmir,886,2,India,3
218,2000,"India, Pakistan",Government of India,,Government of Pakistan,,Kashmir,25,2,India,3
218,2001,"India, Pakistan",Government of India,,Government of Pakistan,,Kashmir,25,2,India,3
218,2002,"India, Pakistan",Government of India,,Government of Pakistan,,Kashmir,25,2,"India, Pakistan",3
218,2003,"India, Pakistan",Government of India,,Government of Pakistan,,Kashmir,233,2,"India, Pakistan",3
218,2014,"India, Pakistan",Government of India,,Government of Pakistan,,Kashmir,43,2,"India, Pakistan",3
218,2015,"India, Pakistan",Government of India,,Government of Pakistan,,Kashmir,29,2,India,3
220,1989,Paraguay,Government of Paraguay,,Military faction (forces of Andres Rodriguez),,,150,3,Paraguay,5
221,1989,Myanmar (Burma),Government of Myanmar (Burma),,KNU,,Karen,1000,3,"Myanmar (Burma), Thailand",3
221,1990,Myanmar (Burma),Government of Myanmar (Burma),,KNU,,Karen,393,3,"Myanmar (Burma), Thailand",3
221,1991,Myanmar (Burma),Government of Myanmar (Burma),,KNU,,Karen,552,3,Myanmar (Burma),3
221,1992,Myanmar (Burma),Government of Myanmar (Burma),,KNU,,Karen,1163,3,Myanmar (Burma),3
221,1994,Myanmar (Burma),Government of Myanmar (Burma),,KNU,,Karen,25,3,Myanmar (Burma),3
221,1995,Myanmar (Burma),Government of Myanmar (Burma),,KNU,,Karen,110,3,Myanmar (Burma),3
221,1997,Myanmar (Burma),Government of Myanmar (Burma),,KNU,,Karen,41,3,Myanmar (Burma),3
221,1998,Myanmar (Burma),Government of Myanmar (Burma),,KNU,,Karen,36,3,Myanmar (Burma),3
221,2000,Myanmar (Burma),Government of Myanmar (Burma),,"God's Army, KNU",,Karen,114,3,"Myanmar (Burma), Myanmar (Burma), Thailand",3
221,2001,Myanmar (Burma),Government of Myanmar (Burma),,KNU,,Karen,36,3,"Myanmar (Burma), Thailand",3
221,2002,Myanmar (Burma),Government of Myanmar (Burma),,KNU,,Karen,110,3,Myanmar (Burma),3
221,2003,Myanmar (Burma),Government of Myanmar (Burma),,KNU,,Karen,38,3,Myanmar (Burma),3
221,2004,Myanmar (Burma),Government of Myanmar (Burma),,KNU,,Karen,27,3,Myanmar (Burma),3
221,2005,Myanmar (Burma),Government of Myanmar (Burma),,KNU,,Karen,42,3,Myanmar (Burma),3
221,2006,Myanmar (Burma),Government of Myanmar (Burma),,KNU,,Karen,104,3,Myanmar (Burma),3
221,2007,Myanmar (Burma),Government of Myanmar (Burma),,KNU,,Karen,104,3,Myanmar (Burma),3
221,2008,Myanmar (Burma),Government of Myanmar (Burma),,KNU,,Karen,33,3,"Myanmar (Burma), Thailand",3
221,2009,Myanmar (Burma),Government of Myanmar (Burma),,KNU,,Karen,58,3,Myanmar (Burma),3
221,2010,Myanmar (Burma),Government of Myanmar (Burma),,"DKBA 5, KNU",,Karen,121,3,"Myanmar (Burma), Myanmar (Burma), Thailand",3
221,2011,Myanmar (Burma),Government of Myanmar (Burma),,"DKBA 5, KNU",,Karen,334,3,Myanmar (Burma),3
221,2013,Myanmar (Burma),Government of Myanmar (Burma),,DKBA 5,,Karen,41,3,Myanmar (Burma),3
222,1992,Myanmar (Burma),Government of Myanmar (Burma),,ABSDF,,,25,3,Myanmar (Burma),3
222,1994,Myanmar (Burma),Government of Myanmar (Burma),,ABSDF,,,25,3,Myanmar (Burma),3
222,1990,Myanmar (Burma),Government of Myanmar (Burma),,ABSDF,,,25,3,Myanmar (Burma),3
222,1991,Myanmar (Burma),Government of Myanmar (Burma),,ABSDF,,,25,3,Myanmar (Burma),3
223,2016,Myanmar (Burma),Government of Myanmar (Burma),,ARSA,,Arakan,84,3,Myanmar (Burma),3
223,2017,Myanmar (Burma),Government of Myanmar (Burma),,ARSA,,Arakan,393,3,Myanmar (Burma),3
223,1994,Myanmar (Burma),Government of Myanmar (Burma),,RSO,,Arakan,109,3,Myanmar (Burma),3
223,1991,Myanmar (Burma),Government of Myanmar (Burma),,RSO,,Arakan,25,3,Myanmar (Burma),3
224,1996,Myanmar (Burma),Government of Myanmar (Burma),,BMA,,Mon,80,3,Myanmar (Burma),3
224,1990,Myanmar (Burma),Government of Myanmar (Burma),,NMSP,,Mon,112,3,Myanmar (Burma),3
227,1991,India,Government of India,,PWG,,,78,3,India,3
227,1992,India,Government of India,,PWG,,,322,3,India,3
227,1993,India,Government of India,,PWG,,,182,3,India,3
227,1994,India,Government of India,,PWG,,,68,3,India,3
227,1996,India,Government of India,,PWG,,,173,3,India,3
227,1997,India,Government of India,,PWG,,,84,3,India,3
227,1998,India,Government of India,,PWG,,,99,3,India,3
227,1999,India,Government of India,,"MCC, PWG",,,126,3,India,3
227,2000,India,Government of India,,"CPI-ML-J, MCC, PWG",,,196,3,India,3
227,2001,India,Government of India,,"MCC, PWG",,,173,3,India,3
227,2002,India,Government of India,,"MCC, PWG",,,179,3,India,3
227,2003,India,Government of India,,"MCC, PWG",,,66,3,India,3
227,2004,India,Government of India,,"MCC, PWG",,,97,3,India,3
227,2005,India,Government of India,,CPI-Maoist,,,199,3,India,3
227,2006,India,Government of India,,CPI-Maoist,,,545,3,India,3
227,2007,India,Government of India,,CPI-Maoist,,,375,3,India,3
227,2008,India,Government of India,,CPI-Maoist,,,384,3,India,3
227,2009,India,Government of India,,CPI-Maoist,,,522,3,India,3
227,2010,India,Government of India,,CPI-Maoist,,,570,3,India,3
227,2011,India,Government of India,,CPI-Maoist,,,293,3,India,3
227,2012,India,Government of India,,CPI-Maoist,,,241,3,India,3
227,2013,India,Government of India,,CPI-Maoist,,,210,3,India,3
227,2014,India,Government of India,,CPI-Maoist,,,195,3,India,3
227,2015,India,Government of India,,CPI-Maoist,,,140,3,India,3
227,2016,India,Government of India,,CPI-Maoist,,,264,3,India,3
227,2017,India,Government of India,,CPI-Maoist,,,241,3,India,3
230,2016,Yemen (North Yemen),Government of Yemen (North Yemen),,Forces of Hadi,"Government of Bahrain, Government of Egypt, Government of Jordan, Government of Kuwait, Government of Morocco, Government of Qatar, Government of Saudi Arabia, Government of Sudan, Government of United Arab Emirates",,2557,4,"Saudi Arabia, Yemen (North Yemen)",2
230,2017,Yemen (North Yemen),Government of Yemen (North Yemen),,Forces of Hadi,"Government of Egypt, Government of Jordan, Government of Qatar, Government of Saudi Arabia, Government of Sudan, Government of United Arab Emirates",,2317,4,"Saudi Arabia, Yemen (North Yemen)",2
230,2009,Yemen (North Yemen),Government of Yemen (North Yemen),Government of United States of America,AQAP,,,94,4,Yemen (North Yemen),2
230,2010,Yemen (North Yemen),Government of Yemen (North Yemen),Government of United States of America,AQAP,,,175,4,Yemen (North Yemen),2
230,2011,Yemen (North Yemen),Government of Yemen (North Yemen),Government of United States of America,AQAP,,,1140,4,Yemen (North Yemen),2
230,2012,Yemen (North Yemen),Government of Yemen (North Yemen),Government of United States of America,AQAP,,,2330,4,Yemen (North Yemen),2
230,2013,Yemen (North Yemen),Government of Yemen (North Yemen),Government of United States of America,AQAP,,,582,4,Yemen (North Yemen),2
230,2014,Yemen (North Yemen),Government of Yemen (North Yemen),", Government of United States of America","AQAP, Ansarallah",,,1660,"3, 4",Yemen (North Yemen),2
230,2015,Yemen (North Yemen),Government of Yemen (North Yemen),,"AQAP, Ansarallah, Forces of Hadi",", Government of Bahrain, Government of Egypt, Government of Jordan, Government of Kuwait, Government of Morocco, Government of Qatar, Government of Saudi Arabia, Government of Sudan, Government of United Arab Emirates",,6532,"3, 4","Saudi Arabia, Yemen (North Yemen), Yemen (North Yemen)",2
231,2016,Myanmar (Burma),Government of Myanmar (Burma),,KIO,,Kachin,32,3,Myanmar (Burma),3
231,2017,Myanmar (Burma),Government of Myanmar (Burma),,KIO,,Kachin,28,3,Myanmar (Burma),3
231,1989,Myanmar (Burma),Government of Myanmar (Burma),,KIO,,Kachin,194,3,Myanmar (Burma),3
231,1990,Myanmar (Burma),Government of Myanmar (Burma),,KIO,,Kachin,25,3,Myanmar (Burma),3
231,1991,Myanmar (Burma),Government of Myanmar (Burma),,KIO,,Kachin,25,3,Myanmar (Burma),3
231,1992,Myanmar (Burma),Government of Myanmar (Burma),,KIO,,Kachin,25,3,Myanmar (Burma),3
231,2011,Myanmar (Burma),Government of Myanmar (Burma),,KIO,,Kachin,209,3,Myanmar (Burma),3
231,2012,Myanmar (Burma),Government of Myanmar (Burma),,KIO,,Kachin,702,3,Myanmar (Burma),3
231,2013,Myanmar (Burma),Government of Myanmar (Burma),,KIO,,Kachin,125,3,Myanmar (Burma),3
231,2014,Myanmar (Burma),Government of Myanmar (Burma),,KIO,,Kachin,83,3,Myanmar (Burma),3
231,2015,Myanmar (Burma),Government of Myanmar (Burma),,KIO,,Kachin,140,3,Myanmar (Burma),3
233,1989,Guatemala,Government of Guatemala,,URNG,,,82,3,Guatemala,5
233,1990,Guatemala,Government of Guatemala,,URNG,,,83,3,Guatemala,5
233,1991,Guatemala,Government of Guatemala,,URNG,,,72,3,Guatemala,5
233,1992,Guatemala,Government of Guatemala,,URNG,,,67,3,Guatemala,5
233,1993,Guatemala,Government of Guatemala,,URNG,,,58,3,Guatemala,5
233,1994,Guatemala,Government of Guatemala,,URNG,,,37,3,Guatemala,5
233,1995,Guatemala,Government of Guatemala,,URNG,,,27,3,Guatemala,5
234,1989,Israel,Government of Israel,,"PFLP, PFLP-GC",,Palestine,54,3,"Israel, Lebanon",2
234,1990,Israel,Government of Israel,,Fatah,,Palestine,29,3,"Israel, Lebanon",2
234,1991,Israel,Government of Israel,,Fatah,,Palestine,28,3,"Israel, Lebanon",2
234,1992,Israel,Government of Israel,,Fatah,,Palestine,33,3,"France, Israel, Lebanon",2
234,1993,Israel,Government of Israel,,Hamas,,Palestine,47,3,Israel,2
234,1994,Israel,Government of Israel,,Hamas,,Palestine,44,3,Israel,2
234,1995,Israel,Government of Israel,,PIJ,,Palestine,34,3,"Israel, Malta",2
234,1996,Israel,Government of Israel,,PNA,,Palestine,66,3,Israel,2
234,2000,Israel,Government of Israel,,"Fatah, PNA",,Palestine,77,3,Israel,2
234,2001,Israel,Government of Israel,,"Fatah, Hamas, PFLP, PIJ, PNA",,Palestine,244,3,Israel,2
234,2002,Israel,Government of Israel,,"AMB, Fatah, Hamas, PIJ, PNA",,Palestine,610,3,Israel,2
234,2003,Israel,Government of Israel,,"AMB, Hamas, PIJ",,Palestine,309,3,Israel,2
234,2004,Israel,Government of Israel,,"AMB, Hamas, PIJ",,Palestine,379,3,"Israel, Israel, Syria",2
234,2005,Israel,Government of Israel,,"Fatah, Hamas, PIJ",,Palestine,120,3,Israel,2
234,2006,Israel,Government of Israel,,"Fatah, Hamas, PIJ, PRC",,Palestine,328,3,"Israel, Israel, Lebanon",2
234,2007,Israel,Government of Israel,,"Fatah, Hamas, PIJ",,Palestine,276,3,Israel,2
234,2008,Israel,Government of Israel,,"Hamas, PIJ",,Palestine,665,3,Israel,2
234,2009,Israel,Government of Israel,,"Hamas, PIJ",,Palestine,679,3,Israel,2
234,2010,Israel,Government of Israel,,PIJ,,Palestine,27,3,Israel,2
234,2011,Israel,Government of Israel,,"Hamas, PIJ",,Palestine,56,3,Israel,2
234,2012,Israel,Government of Israel,,"Hamas, PIJ",,Palestine,64,3,Israel,2
234,2014,Israel,Government of Israel,,"Hamas, PIJ",,Palestine,1671,3,Israel,2
251,1992,India,Government of India,,NSCN-IM,,Nagaland,47,3,India,3
251,1993,India,Government of India,,NSCN-IM,,Nagaland,92,3,India,3
251,1994,India,Government of India,,NSCN-IM,,Nagaland,60,3,India,3
251,1995,India,Government of India,,NSCN-IM,,Nagaland,95,3,India,3
251,1996,India,Government of India,,NSCN-IM,,Nagaland,40,3,India,3
251,1997,India,Government of India,,NSCN-IM,,Nagaland,37,3,India,3
251,2000,India,Government of India,,NSCN-IM,,Nagaland,30,3,India,3
253,1992,Myanmar (Burma),Government of Myanmar (Burma),,KNPP,,Karenni,404,3,Myanmar (Burma),3
253,1996,Myanmar (Burma),Government of Myanmar (Burma),,KNPP,,Karenni,124,3,Myanmar (Burma),3
253,2005,Myanmar (Burma),Government of Myanmar (Burma),,KNPP,,Karenni,35,3,"Myanmar (Burma), Thailand",3
259,2016,Iraq,Government of Iraq,"Government of Australia, Government of Bahrain, Government of Belgium, Government of Canada, Government of Denmark, Government of France, Government of Jordan, Government of Netherlands, Government of Saudi Arabia, Government of United Arab Emirates, Government of United Kingdom, Government of United States of America",IS,,,12105,4,"Belgium, Iraq, Libya, Syria",2
259,2017,Iraq,Government of Iraq,"Government of Australia, Government of Belgium, Government of France, Government of Jordan, Government of Saudi Arabia, Government of United Kingdom, Government of United States of America",IS,,,13817,4,"Afghanistan, France, Iraq, Pakistan, Syria, Yemen (North Yemen)",2
259,1991,Iraq,Government of Iraq,,SCIRI,,,237,3,Iraq,2
259,1992,Iraq,Government of Iraq,,SCIRI,,,280,3,Iraq,2
259,1993,Iraq,Government of Iraq,,SCIRI,,,75,3,Iraq,2
259,1994,Iraq,Government of Iraq,,SCIRI,,,25,3,Iraq,2
259,1995,Iraq,Government of Iraq,,SCIRI,,,325,3,Iraq,2
259,1996,Iraq,Government of Iraq,,SCIRI,,,42,3,Iraq,2
259,2004,Iraq,Government of Iraq,"Government of Albania, Government of Australia, Government of Azerbaijan, Government of Bulgaria, Government of Czech Republic, Government of Denmark, Government of Dominican Republic, Government of El Salvador, Government of Estonia, Government of Georgia, Government of Honduras, Government of Italy, Government of Kazakhstan, Government of Latvia, Government of Lithuania, Government of Macedonia, FYR, Government of Moldova, Government of Mongolia, Government of Netherlands, Government of Nicaragua, Government of Norway, Government of Philippines, Government of Poland, Government of Portugal, Government of Rumania, Government of Slovakia, Government of South Korea, Government of Spain, Government of Tonga, Government of Ukraine, Government of United Kingdom, Government of United States of America","Ansar al-Islam, IS, al-Mahdi Army",,,4094,4,Iraq,2
259,2005,Iraq,Government of Iraq,"Government of Albania, Government of Armenia, Government of Australia, Government of Azerbaijan, Government of Bosnia-Herzegovina, Government of Bulgaria, Government of Czech Republic, Government of Denmark, Government of El Salvador, Government of Estonia, Government of Georgia, Government of Italy, Government of Kazakhstan, Government of Latvia, Government of Lithuania, Government of Macedonia, FYR, Government of Moldova, Government of Mongolia, Government of Netherlands, Government of Norway, Government of Poland, Government of Portugal, Government of Rumania, Government of Slovakia, Government of South Korea, Government of Ukraine, Government of United Kingdom, Government of United States of America","Ansar al-Islam, IS, RJF",,,2608,4,Iraq,2
259,2006,Iraq,Government of Iraq,"Government of Albania, Government of Armenia, Government of Australia, Government of Azerbaijan, Government of Bosnia-Herzegovina, Government of Bulgaria, Government of Czech Republic, Government of Denmark, Government of El Salvador, Government of Estonia, Government of Georgia, Government of Kazakhstan, Government of Latvia, Government of Lithuania, Government of Macedonia, FYR, Government of Moldova, Government of Mongolia, Government of Poland, Government of Rumania, Government of Slovakia, Government of South Korea, Government of United Kingdom, Government of United States of America","Ansar al-Islam, IS, RJF",,,3934,4,Iraq,2
259,2007,Iraq,Government of Iraq,"Government of Albania, Government of Armenia, Government of Australia, Government of Azerbaijan, Government of Bosnia-Herzegovina, Government of Bulgaria, Government of Czech Republic, Government of Denmark, Government of El Salvador, Government of Estonia, Government of Georgia, Government of Kazakhstan, Government of Latvia, Government of Lithuania, Government of Macedonia, FYR, Government of Moldova, Government of Mongolia, Government of Poland, Government of Rumania, Government of Slovakia, Government of South Korea, Government of Tonga, Government of United Kingdom, Government of United States of America","Ansar al-Islam, IS, RJF, al-Mahdi Army",,,2212,4,Iraq,2
259,2008,Iraq,Government of Iraq,"Government of Albania, Government of Armenia, Government of Australia, Government of Azerbaijan, Government of Bosnia-Herzegovina, Government of Bulgaria, Government of Czech Republic, Government of El Salvador, Government of Estonia, Government of Georgia, Government of Kazakhstan, Government of Latvia, Government of Lithuania, Government of Macedonia, FYR, Government of Moldova, Government of Mongolia, Government of Poland, Government of Rumania, Government of South Korea, Government of Tonga, Government of Ukraine, Government of United Kingdom, Government of United States of America","IS, al-Mahdi Army",,,2112,4,Iraq,2
259,2009,Iraq,Government of Iraq,"Government of Australia, Government of El Salvador, Government of Estonia, Government of United Kingdom, Government of United States of America",IS,,,1036,4,Iraq,2
259,2010,Iraq,Government of Iraq,Government of United States of America,IS,,,1015,4,Iraq,2
259,2011,Iraq,Government of Iraq,Government of United States of America,"Ansar al-Islam, IS",,,864,4,Iraq,2
259,2012,Iraq,Government of Iraq,,IS,,,565,3,Iraq,2
259,2013,Iraq,Government of Iraq,,IS,,,1870,3,Iraq,2
259,2014,Iraq,Government of Iraq,"Government of Australia, Government of Bahrain, Government of Belgium, Government of Canada, Government of Denmark, Government of France, Government of Jordan, Government of Netherlands, Government of Saudi Arabia, Government of United Arab Emirates, Government of United Kingdom, Government of United States of America",IS,,,13443,4,"Iraq, Syria",2
259,2015,Iraq,Government of Iraq,"Government of Australia, Government of Bahrain, Government of Belgium, Government of Canada, Government of Denmark, Government of France, Government of Jordan, Government of Netherlands, Government of Saudi Arabia, Government of United Arab Emirates, Government of United Kingdom, Government of United States of America",IS,,,11557,4,"France, Iraq, Libya, Syria",2
260,1989,Lebanon,Government of Lebanon,Government of Syria,"Forces of Michel Aoun, Lebanese Forces",,,711,4,Lebanon,2
260,1990,Lebanon,Government of Lebanon,Government of Syria,Forces of Michel Aoun,,,700,4,Lebanon,2
262,1989,Laos,Government of Laos,,LRM,,,30,3,Laos,3
262,1990,Laos,Government of Laos,,LRM,,,249,3,Laos,3
264,1993,Myanmar (Burma),Government of Myanmar (Burma),,MTA,,Shan,130,3,Myanmar (Burma),3
264,1994,Myanmar (Burma),Government of Myanmar (Burma),,MTA,,Shan,526,3,Myanmar (Burma),3
264,1995,Myanmar (Burma),Government of Myanmar (Burma),,MTA,,Shan,174,3,Myanmar (Burma),3
264,1996,Myanmar (Burma),Government of Myanmar (Burma),,RCSS,,Shan,25,3,Myanmar (Burma),3
264,1997,Myanmar (Burma),Government of Myanmar (Burma),,RCSS,,Shan,152,3,Myanmar (Burma),3
264,1998,Myanmar (Burma),Government of Myanmar (Burma),,RCSS,,Shan,25,3,Myanmar (Burma),3
264,1999,Myanmar (Burma),Government of Myanmar (Burma),,RCSS,,Shan,25,3,Myanmar (Burma),3
264,2000,Myanmar (Burma),Government of Myanmar (Burma),,RCSS,,Shan,69,3,Myanmar (Burma),3
264,2001,Myanmar (Burma),Government of Myanmar (Burma),,RCSS,,Shan,117,3,"Myanmar (Burma), Thailand",3
264,2002,Myanmar (Burma),Government of Myanmar (Burma),,RCSS,,Shan,184,3,"Myanmar (Burma), Thailand",3
264,2005,Myanmar (Burma),Government of Myanmar (Burma),,RCSS,,Shan,27,3,Myanmar (Burma),3
264,2006,Myanmar (Burma),Government of Myanmar (Burma),,RCSS,,Shan,48,3,Myanmar (Burma),3
264,2007,Myanmar (Burma),Government of Myanmar (Burma),,RCSS,,Shan,29,3,Myanmar (Burma),3
264,2008,Myanmar (Burma),Government of Myanmar (Burma),,RCSS,,Shan,31,3,Myanmar (Burma),3
264,2009,Myanmar (Burma),Government of Myanmar (Burma),,RCSS,,Shan,52,3,Myanmar (Burma),3
264,2010,Myanmar (Burma),Government of Myanmar (Burma),,RCSS,,Shan,36,3,Myanmar (Burma),3
264,2011,Myanmar (Burma),Government of Myanmar (Burma),,"RCSS, SSPP",,Shan,170,3,Myanmar (Burma),3
264,2013,Myanmar (Burma),Government of Myanmar (Burma),,"RCSS, SSPP",,Shan,83,3,Myanmar (Burma),3
264,2015,Myanmar (Burma),Government of Myanmar (Burma),,SSPP,,Shan,75,3,Myanmar (Burma),3
265,2013,DR Congo (Zaire),Government of DR Congo (Zaire),,Kata Katanga,,Katanga,94,3,DR Congo (Zaire),4
265,2014,DR Congo (Zaire),Government of DR Congo (Zaire),,Kata Katanga,,Katanga,59,3,DR Congo (Zaire),4
267,1989,Ethiopia,Government of Ethiopia,,"EPRDF, Military faction (forces of Amsha Desta and Merid Negusie)",,,18403,3,Ethiopia,4
267,1990,Ethiopia,Government of Ethiopia,,EPRDF,,,18985,3,Ethiopia,4
267,1991,Ethiopia,Government of Ethiopia,,"EPRDF, Military faction (Harar garrison)",,,4520,3,Ethiopia,4
269,1996,Nepal,Government of Nepal,,CPN-M,,,44,3,Nepal,3
269,1997,Nepal,Government of Nepal,,CPN-M,,,40,3,Nepal,3
269,1998,Nepal,Government of Nepal,,CPN-M,,,250,3,Nepal,3
269,1999,Nepal,Government of Nepal,,CPN-M,,,156,3,Nepal,3
269,2000,Nepal,Government of Nepal,,CPN-M,,,268,3,Nepal,3
269,2001,Nepal,Government of Nepal,,CPN-M,,,429,3,Nepal,3
269,2002,Nepal,Government of Nepal,,CPN-M,,,3947,3,Nepal,3
269,2003,Nepal,Government of Nepal,,CPN-M,,,1341,3,Nepal,3
269,2004,Nepal,Government of Nepal,,CPN-M,,,1880,3,Nepal,3
269,2005,Nepal,Government of Nepal,,CPN-M,,,1104,3,Nepal,3
269,2006,Nepal,Government of Nepal,,CPN-M,,,457,3,Nepal,3
271,1989,Iraq,Government of Iraq,,"KDP, PUK",,Kurdistan,50,3,Iraq,2
271,1990,Iraq,Government of Iraq,,"KDP, PUK",,Kurdistan,94,3,Iraq,2
271,1991,Iraq,Government of Iraq,,"KDP, PUK",,Kurdistan,1247,3,Iraq,2
271,1992,Iraq,Government of Iraq,,PUK,,Kurdistan,26,3,Iraq,2
271,1995,Iraq,Government of Iraq,,PUK,,Kurdistan,262,3,Iraq,2
271,1996,Iraq,Government of Iraq,,PUK,,Kurdistan,356,3,"Iran, Iraq",2
275,1989,Ethiopia,Government of Ethiopia,,EPLF,,Eritrea,5930,3,Ethiopia,4
275,1990,Ethiopia,Government of Ethiopia,,EPLF,,Eritrea,30633,3,Ethiopia,4
275,1991,Ethiopia,Government of Ethiopia,,EPLF,,Eritrea,6907,3,Ethiopia,4
277,1992,Venezuela,Government of Venezuela,,Military faction (forces of Hugo Ch�vez),,,144,3,Venezuela,5
283,2016,DR Congo (Zaire),Government of DR Congo (Zaire),,Kamuina Nsapu,,,164,3,DR Congo (Zaire),4
283,2017,DR Congo (Zaire),Government of DR Congo (Zaire),,"CMC, CNPSC (Yakutumba), Kamuina Nsapu, M23, MNR",,,1608,3,DR Congo (Zaire),4
283,1996,DR Congo (Zaire),Government of DR Congo (Zaire),,AFDL,Government of Rwanda,,1304,4,DR Congo (Zaire),4
283,1997,DR Congo (Zaire),Government of DR Congo (Zaire),,AFDL,"Government of Angola, Government of Rwanda, Government of Uganda",,4457,4,DR Congo (Zaire),4
283,1998,DR Congo (Zaire),Government of DR Congo (Zaire),"Government of Angola, Government of Chad, Government of Namibia, Government of Zimbabwe (Rhodesia)","MLC, RCD","Government of Rwanda, Government of Uganda, Government of Uganda",,3268,4,DR Congo (Zaire),4
283,1999,DR Congo (Zaire),Government of DR Congo (Zaire),"Government of Angola, Government of Chad, Government of Namibia, Government of Zimbabwe (Rhodesia)","MLC, RCD","Government of Rwanda, Government of Uganda, Government of Uganda",,2953,4,DR Congo (Zaire),4
283,2000,DR Congo (Zaire),Government of DR Congo (Zaire),"Government of Angola, Government of Namibia, Government of Zimbabwe (Rhodesia)","MLC, RCD","Government of Rwanda, Government of Uganda",,1294,4,DR Congo (Zaire),4
283,2001,DR Congo (Zaire),Government of DR Congo (Zaire),"Government of Angola, Government of Namibia, Government of Zimbabwe (Rhodesia)",RCD,Government of Rwanda,,454,4,DR Congo (Zaire),4
283,2006,DR Congo (Zaire),Government of DR Congo (Zaire),,CNDP,,,182,3,"DR Congo (Zaire), Uganda",4
283,2007,DR Congo (Zaire),Government of DR Congo (Zaire),,CNDP,,,516,3,DR Congo (Zaire),4
283,2008,DR Congo (Zaire),Government of DR Congo (Zaire),,CNDP,,,486,3,DR Congo (Zaire),4
283,2011,DR Congo (Zaire),Government of DR Congo (Zaire),,CNPSC (Yakutumba),,,41,3,DR Congo (Zaire),4
283,2012,DR Congo (Zaire),Government of DR Congo (Zaire),,"CNPSC (Yakutumba), M23",", Government of Rwanda, Government of Uganda",,703,"3, 4","DR Congo (Zaire), DR Congo (Zaire), Rwanda",4
283,2013,DR Congo (Zaire),Government of DR Congo (Zaire),,"APCLS, Forces of Paul Joseph Mukungubila, M23",", Government of Rwanda",,1379,"3, 4","DR Congo (Zaire), DR Congo (Zaire), Rwanda",4
